team,season,wins,losses,win_pct,pts_per_game,fg_pct,three_pt_pct,three_pt_attempts,off_reb,def_reb,total_reb,assists,turnovers,blocks
Miami Heat,2019-20,44,29,0.603,112.0,0.468,0.379,35.4,8.5,35.9,44.4,25.9,14.9,4.5
Milwaukee Bucks,2019-20,56,17,0.767,118.7,0.476,0.355,38.9,9.5,42.2,51.7,25.9,15.1,5.9
Minnesota Timberwolves,2019-20,19,45,0.297,113.3,0.441,0.336,39.7,10.5,34.3,44.8,23.8,15.3,5.7
New Orleans Pelicans,2019-20,30,42,0.417,115.8,0.465,0.37,36.9,11.1,35.4,46.5,26.8,16.4,5.0
New York Knicks,2019-20,21,45,0.318,105.8,0.447,0.337,28.4,12.0,34.5,46.5,22.1,14.3,4.7
Oklahoma City Thunder,2019-20,44,28,0.611,110.4,0.468,0.355,30.2,8.2,34.7,42.9,21.7,13.7,4.9
Orlando Magic,2019-20,33,40,0.452,107.3,0.444,0.343,32.2,10.3,34.2,44.5,23.9,12.8,5.4
Philadelphia 76ers,2019-20,43,30,0.589,110.7,0.468,0.368,31.6,10.5,35.0,45.4,25.8,14.2,5.3
Phoenix Suns,2019-20,34,39,0.466,113.6,0.468,0.358,31.8,9.8,33.8,43.5,27.2,14.8,4.0
Portland Trail Blazers,2019-20,35,39,0.473,115.0,0.463,0.377,34.1,10.2,35.1,45.3,20.6,12.8,6.1
Sacramento Kings,2019-20,31,41,0.431,110.1,0.462,0.364,34.9,9.7,32.9,42.6,23.8,14.5,4.1
San Antonio Spurs,2019-20,32,39,0.451,114.1,0.472,0.376,28.5,9.0,35.6,44.6,24.7,12.6,5.5
Toronto Raptors,2019-20,53,19,0.736,112.8,0.458,0.374,37.0,9.5,35.9,45.4,25.2,14.8,5.0
Utah Jazz,2019-20,44,28,0.611,111.3,0.471,0.38,35.2,9.1,35.8,44.9,22.4,15.1,4.1
Washington Wizards,2019-20,25,47,0.347,114.4,0.457,0.368,32.6,10.2,31.9,42.0,25.0,14.2,4.3
Atlanta Hawks,2020-21,41,31,0.569,113.7,0.468,0.373,33.4,10.6,35.1,45.6,24.1,13.2,4.8
Boston Celtics,2020-21,36,36,0.5,112.6,0.466,0.374,36.4,10.6,33.6,44.3,23.5,14.1,5.3
Brooklyn Nets,2020-21,48,24,0.667,118.6,0.494,0.392,36.1,8.9,35.5,44.4,26.8,13.5,5.3
